order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price
ORD00001,2024-07-01,CUST0212,P006,Jacket,Clothing,3,80
ORD00002,2024-05-03,CUST0157,P004,T-Shirt,Clothing,1,20
ORD00003,2024-02-04,CUST0109,P002,Phone,Electronics,2,500
ORD00004,2024-06-27,CUST0393,P011,Chair,Home,3,120
ORD00005,2024-04-19,CUST0075,P006,Jacket,Clothing,5,80
ORD00006,2024-10-03,CUST0012,P008,SQL Book,Books,2,25
ORD00007,2024-08-07,CUST0340,P007,Python Book,Books,2,30
ORD00008,2024-02-09,CUST0087,P005,Jeans,Clothing,4,40
ORD00009,2024-11-09,CUST0082,P002,Phone,Electronics,3,500
ORD00010,2024-02-18,CUST0355,P008,SQL Book,Books,3,25
ORD00011,2024-12-21,CUST0417,P006,Jacket,Clothing,3,80
ORD00012,2024-11-22,CUST0330,P007,Python Book,Books,3,30
ORD00013,2024-04-02,CUST0305,P003,Tablet,Electronics,2,350
ORD00014,2024-09-08,CUST0229,P001,Laptop,Electronics,1,800
ORD00015,2024-06-08,CUST0295,P015,Bottle,Sports,3,10
ORD00016,2024-09-29,CUST0095,P011,Chair,Home,3,120
ORD00017,2024-05-20,CUST0002,P004,T-Shirt,Clothing,4,20
ORD00018,2024-12-12,CUST0472,P008,SQL Book,Books,5,25
ORD00019,2024-11-06,CUST0277,P009,ML Book,Books,2,45
ORD00020,2024-12-04,CUST0284,P005,Jeans,Clothing,1,40
ORD00021,2024-11-15,CUST0382,P003,Tablet,Electronics,2,350
ORD00022,2024-03-10,CUST0453,P011,Chair,Home,4,120
ORD00023,2024-05-07,CUST0103,P009,ML Book,Books,3,45
ORD00024,2024-04-26,CUST0196,P008,SQL Book,Books,4,25
ORD00025,2024-02-21,CUST0409,P003,Tablet,Electronics,5,350
ORD00026,2024-04-02,CUST0166,P007,Python Book,Books,3,30
ORD00027,2024-09-04,CUST0395,P003,Tablet,Electronics,5,350
ORD00028,2024-10-01,CUST0190,P003,Tablet,Electronics,3,350
ORD00029,2024-11-04,CUST0154,P002,Phone,Electronics,4,500
ORD00030,2024-10-22,CUST0196,P002,Phone,Electronics,3,500
ORD00031,2024-11-10,CUST0155,P001,Laptop,Electronics,5,800
ORD00032,2024-04-01,CUST0477,P013,Shoes,Sports,4,60
ORD00033,2024-02-19,CUST0251,P007,Python Book,Books,2,30
ORD00034,2024-12-18,CUST0384,P005,Jeans,Clothing,2,40
ORD00035,2024-09-11,CUST0122,P003,Tablet,Electronics,5,350
ORD00036,2024-07-15,CUST0151,P001,Laptop,Electronics,1,800
ORD00037,2024-03-27,CUST0073,P013,Shoes,Sports,4,60
ORD00038,2024-08-28,CUST0146,P004,T-Shirt,Clothing,3,20
ORD00039,2024-06-05,CUST0092,P002,Phone,Electronics,4,500
ORD00040,2024-12-26,CUST0458,P008,SQL Book,Books,2,25
ORD00041,2024-03-14,CUST0357,P004,T-Shirt,Clothing,5,20
ORD00042,2024-04-13,CUST0067,P004,T-Shirt,Clothing,1,20
ORD00043,2024-11-10,CUST0469,P003,Tablet,Electronics,5,350
ORD00044,2024-03-05,CUST0289,P011,Chair,Home,4,120
ORD00045,2024-09-07,CUST0198,P001,Laptop,Electronics,3,800
ORD00046,2024-06-02,CUST0437,P010,Lamp,Home,5,15
ORD00047,2024-09-07,CUST0258,P001,Laptop,Electronics,2,800
ORD00048,2024-06-24,CUST0050,P013,Shoes,Sports,4,60
ORD00049,2024-11-01,CUST0152,P012,Table,Home,2,200
ORD00050,2024-01-18,CUST0307,P006,Jacket,Clothing,5,80
ORD00051,2024-03-24,CUST0398,P005,Jeans,Clothing,3,40
ORD00052,2024-09-19,CUST0010,P008,SQL Book,Books,3,25
ORD00053,2024-08-31,CUST0213,P003,Tablet,Electronics,3,350
ORD00054,2024-12-10,CUST0009,P004,T-Shirt,Clothing,4,20
ORD00055,2024-04-26,CUST0198,P004,T-Shirt,Clothing,5,20
ORD00056,2024-05-07,CUST0003,P006,Jacket,Clothing,5,80
ORD00057,2024-08-25,CUST0467,P008,SQL Book,Books,1,25
ORD00058,2024-07-01,CUST0411,P008,SQL Book,Books,3,25
ORD00059,2024-10-27,CUST0129,P015,Bottle,Sports,3,10
ORD00060,2024-08-23,CUST0325,P007,Python Book,Books,5,30
ORD00061,2024-09-27,CUST0313,P006,Jacket,Clothing,4,80
ORD00062,2024-06-11,CUST0492,P007,Python Book,Books,5,30
ORD00063,2024-01-31,CUST0253,P005,Jeans,Clothing,4,40
ORD00064,2024-10-03,CUST0470,P011,Chair,Home,3,120
ORD00065,2024-05-14,CUST0417,P006,Jacket,Clothing,2,80
ORD00066,2024-04-13,CUST0120,P005,Jeans,Clothing,4,40
ORD00067,2024-07-02,CUST0017,P006,Jacket,Clothing,4,80
ORD00068,2024-07-15,CUST0179,P012,Table,Home,2,200
ORD00069,2024-06-16,CUST0075,P014,Bag,Sports,5,35
ORD00070,2024-05-12,CUST0184,P010,Lamp,Home,3,15
ORD00071,2024-04-05,CUST0466,P006,Jacket,Clothing,5,80
ORD00072,2024-11-07,CUST0221,P015,Bottle,Sports,5,10
ORD00073,2024-06-18,CUST0372,P012,Table,Home,2,200
ORD00074,2024-05-18,CUST0132,P003,Tablet,Electronics,3,350
ORD00075,2024-02-15,CUST0500,P010,Lamp,Home,1,15
ORD00076,2024-10-18,CUST0490,P011,Chair,Home,1,120
ORD00077,2024-06-09,CUST0102,P002,Phone,Electronics,5,500
ORD00078,2024-06-21,CUST0215,P001,Laptop,Electronics,3,800
ORD00079,2024-12-29,CUST0311,P008,SQL Book,Books,5,25
ORD00080,2024-03-26,CUST0006,P011,Chair,Home,2,120
ORD00081,2024-05-08,CUST0250,P005,Jeans,Clothing,2,40
ORD00082,2024-03-22,CUST0159,P012,Table,Home,4,200
ORD00083,2024-05-01,CUST0123,P001,Laptop,Electronics,3,800
ORD00084,2024-12-13,CUST0239,P007,Python Book,Books,4,30
ORD00085,2024-11-14,CUST0410,P008,SQL Book,Books,2,25
ORD00086,2024-01-02,CUST0097,P002,Phone,Electronics,2,500
ORD00087,2024-08-20,CUST0132,P009,ML Book,Books,1,45
